Date,Ticker,Post_Title,Scenario,Entry,Stop_Loss,Targets,R_R_Ratio,Est_Probability,Link,Current_Price,Price_Updated,Status
2026-06-18,BDRX,BDRX — Trading Playbook,Fib Golden Pocket,$3.76,$3.41,$4.27 / $5.08,1:1.43,,https://github.com/shaneshipman7/wild-swing-playbook,$3.06,2026-06-22 04:43,FAILED
2026-06-19,CAT,CAT — Trading Playbook,Final Execution Plan,$290.6,$284.38,$300.52 / $313.7,,45%,https://github.com/shaneshipman7/wild-swing-playbook,$985.23,2026-06-22 04:43,TRACKING
2026-06-13,CLOV,CLOV — Trading Playbook,Fib Golden Pocket,$3.57,$3.13,$4.18 / $5.18,,,https://github.com/shaneshipman7/wild-swing-playbook,$4.99,2026-06-22 04:43,TRACKING
2026-06-13,COMP,COMP — Trading Playbook,Fib Golden Pocket,$8,$7.56,$8.6 / $9.59,,,https://github.com/shaneshipman7/wild-swing-playbook,$10,2026-06-22 04:43,TRACKING
2026-06-15,CORZ,CORZ — Trading Playbook,Fib Golden Pocket,$23.95,$22.18,$26.43 / $30.46,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$29.18,2026-06-22 04:43,TRACKING
2026-06-18,ELF,ELF — Trading Playbook,Fib Golden Pocket,$57.03,$53.42,$62.09 / $70.3,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$64.17,2026-06-22 04:43,TRACKING
2026-06-21,ENB,ENB — Trading Playbook,Fib Golden Pocket,$54.87,$53.9,$56.24 / $58.45,1:1.41,,https://github.com/shaneshipman7/wild-swing-playbook,$54.55,2026-06-22 04:43,TRACKING
2026-06-15,EOSE,EOSE — Trading Playbook,Fib Golden Pocket,$7.45,$6.76,$8.42 / $9.99,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$7.65,2026-06-22 04:43,TRACKING
2026-06-22,FCX,FCX — Trading Playbook,Fib Golden Pocket,$63.64,$61.29,$66.94 / $72.28,1:1.41,,https://github.com/shaneshipman7/wild-swing-playbook,$68.67,2026-06-22 04:43,TRACKING
2026-06-21,FDX,FDX — Trading Playbook,Fib Golden Pocket,$311.76,$302.62,$324.59 / $345.37,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$326.21,2026-06-22 04:43,TRACKING
2026-06-13,FLNC,FLNC — Trading Playbook,Fib Golden Pocket,$18.71,$15.65,$23.01 / $29.97,,,https://github.com/shaneshipman7/wild-swing-playbook,$24.75,2026-06-22 04:43,TRACKING
2026-06-21,FRMI,FRMI Bullish Swing Setup: AI Power Narrative Meets Technical Breakout,Final Execution Plan,$6.66,$6.23,$7.39 / $8.77,,62%,https://github.com/shaneshipman7/wild-swing-playbook,$9.51,2026-06-22 04:43,TRACKING
2026-06-15,GE,GE — Trading Playbook,Fib Golden Pocket,$301.36,$291.7,$314.91 / $336.86,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$357.67,2026-06-22 04:43,TRACKING
2026-06-17,GRRR,GRRR — Trading Playbook,Fib Golden Pocket,$16.65,$14.79,$19.26 / $23.49,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$16.58,2026-06-22 04:43,TRACKING
2026-06-22,HPE,HPE — Trading Playbook,Fib Golden Pocket,$42.53,$36.68,$50.75 / $64.06,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$47.42,2026-06-22 04:43,TRACKING
2026-06-17,HWH,"HWH Stock: Post-Spike Pullback Creates High-Risk, Low-Conviction Swing Setup on June 15, 2026",Final Execution Plan,$1.62,$1.39,$1.96 / $2.53,,38%,https://github.com/shaneshipman7/wild-swing-playbook,$1.6,2026-06-22 04:43,TRACKING
2026-06-14,INTC,INTC — Trading Playbook,Fib Golden Pocket,$107.94,$101.2,$117.42 / $132.75,1:1.41,,https://github.com/shaneshipman7/wild-swing-playbook,$133.8,2026-06-22 04:43,TRACKING
2026-06-22,IONQ,IONQ — Trading Playbook,Fib Golden Pocket,$56.26,$51.53,$62.9 / $73.65,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$56.53,2026-06-22 04:43,TRACKING
2026-06-15,IREN,IREN — Trading Playbook,Fib Golden Pocket,$54.91,$50.62,$60.94 / $70.71,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$60.03,2026-06-22 04:43,TRACKING
2026-06-18,JMIA,JMIA — Trading Playbook,Fib Golden Pocket,$7.69,$7.17,$8.43 / $9.62,1:1.41,,https://github.com/shaneshipman7/wild-swing-playbook,$7.04,2026-06-22 04:43,FAILED
2026-06-18,JOBY,JOBY — Trading Playbook,Fib Golden Pocket,$10.15,$9.52,$11.04 / $12.48,1:1.41,,https://github.com/shaneshipman7/wild-swing-playbook,$9.98,2026-06-22 04:43,TRACKING
2026-06-21,LNTH,LNTH — Trading Playbook,Fib Golden Pocket,$95.47,$92.07,$100.25 / $107.99,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$103.88,2026-06-22 04:43,TRACKING
2026-06-22,LWLG,LWLG — Trading Playbook,Fib Golden Pocket,$12.6,$10.94,$14.94 / $18.71,1:1.41,,https://github.com/shaneshipman7/wild-swing-playbook,$9.75,2026-06-22 04:43,TRACKING
2026-06-21,MRVL,MRVL — Trading Playbook,Fib Golden Pocket,$223.63,$194.75,$264.21 / $329.88,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$310.85,2026-06-22 04:43,TRACKING
2026-06-21,MU,MU — Trading Playbook,Fib Golden Pocket,$831.77,$745.42,"$953.08 / $1,149.43",1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,"$1,131.91",2026-06-22 04:43,TRACKING
2026-06-19,NOK,NOK — Trading Playbook,Fib Golden Pocket,$14.16,$13.27,$15.42 / $17.45,1:1.41,,https://github.com/shaneshipman7/wild-swing-playbook,$13.48,2026-06-22 04:43,TRACKING
2026-06-16,NRDS,NRDS Swing Trade Setup: Bullish Reversal Potential from Multi-Month Lows,Final Execution Plan,$8.66,$7.98,$9.88 / $11.62,,48%,https://github.com/shaneshipman7/wild-swing-playbook,$8.38,2026-06-22 04:43,TRACKING
2026-06-16,NVDA,"NVDA Technical Swing Setup: Mild Bullish Momentum Emerges Above $209 on June 15, 2026",Final Execution Plan,$210.23,$204.22,$222.66 / $235.63,,60%,https://github.com/shaneshipman7/wild-swing-playbook,$210.23,2026-06-22 04:43,TRACKING
2026-06-16,ONDS,ONDS Technical Swing Setup: High-Volume Bullish Close Targets Defense-Driven Breakout,Final Execution Plan,$10.03,$9.34,$11.28 / $13.08,,48%,https://github.com/shaneshipman7/wild-swing-playbook,$9.28,2026-06-22 04:43,TRACKING
2026-06-17,OPEN,"Opendoor Technologies (OPEN): Neutral RSI Meets Bearish EMAs - Valid Swing Setups on June 15, 2026",Final Execution Plan,4.40-4.45,$4.26,$4.8 / $5.05,,52%,file:///root/grok-ticker-bot/ticker_reports/OPEN_Live_Blogger_Post_2026-06-21_23-33.html,$4.48,2026-06-22 04:43,TRACKING
2026-06-21,ORBS,ORBS — Trading Playbook,Final Execution Plan,$0.97,$0.91,$1.06 / $1.21,,52%,https://github.com/shaneshipman7/wild-swing-playbook,$1.02,2026-06-22 04:43,TRACKING
2026-06-22,OUST,OUST — Trading Playbook,Fib Golden Pocket,$33.45,$29.12,$39.54 / $49.39,1:1.41,,https://github.com/shaneshipman7/wild-swing-playbook,$46.56,2026-06-22 04:43,TRACKING
2026-06-21,PIII,PIII: Neutral RSI Pullback Creates Cautious Swing Opportunity After Recent Spike,Final Execution Plan,$9.41,$8.04,$11.5 / $15.2,,55%,https://github.com/shaneshipman7/wild-swing-playbook,$10.78,2026-06-22 04:43,TRACKING
2026-06-22,PLTR,PLTR — Trading Playbook,Fib Golden Pocket,$139.79,$133.29,$148.92 / $163.7,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$128.49,2026-06-22 04:43,TRACKING
2026-06-19,PM,PM — Trading Playbook,Fib Golden Pocket,$178.15,$174.1,$183.84 / $193.05,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$178.35,2026-06-22 04:43,TRACKING
2026-06-15,QH,QH — Trading Playbook,Fib Golden Pocket,$4.97,$3.43,$7.13 / $10.63,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$11.39,2026-06-22 04:43,TRACKING
2026-06-22,RCAT,RCAT — Trading Playbook,Fib Golden Pocket,$11.2,$9.95,$12.95 / $15.79,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$11.44,2026-06-22 04:43,TRACKING
2026-06-21,RDW,RDW Swing Trade Setup: Neutral RSI Offers Patient Entry Opportunity Amid Space Sector Volatility,Final Execution Plan,$14.82,$13.03,$17.52 / $21.72,,55%,https://github.com/shaneshipman7/wild-swing-playbook,$14.36,2026-06-22 04:43,TRACKING
2026-06-16,RGTI,"RGTI Rigetti Computing: High-Volume Breakout Fuels Bullish Swing Setup on June 15, 2026",Final Execution Plan,$20.63,$18.78,$22.77 / $26.43,,58%,https://github.com/shaneshipman7/wild-swing-playbook,$21.35,2026-06-22 04:43,TRACKING
2026-06-18,RITR,RITR — Trading Playbook,Fib Golden Pocket,$0.62,$0.53,$0.75 / $0.95,1:1.46,,https://github.com/shaneshipman7/wild-swing-playbook,$0.5,2026-06-22 04:43,FAILED
2026-06-22,SATL,SATL — Trading Playbook,Fib Golden Pocket,$8.01,$6.93,$9.54 / $12,1:1.41,,https://github.com/shaneshipman7/wild-swing-playbook,$6.01,2026-06-22 04:43,TRACKING
2026-06-22,SERV,SERV — Trading Playbook,Fib Golden Pocket,$7.83,$7.24,$8.65 / $9.98,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$7.01,2026-06-22 04:43,TRACKING
2026-06-17,SES,SES — Trading Playbook,Final Execution Plan,$1.11,$1.04,$1.21 / $1.38,,55%,https://github.com/shaneshipman7/wild-swing-playbook,$1.12,2026-06-22 04:43,TRACKING
2026-06-20,SIDUS,SIDUS Technical Analysis: Why No High-Conviction Swing Setup Exists Right Now,Final Execution Plan,3.46-3.50,$3.35,$3.8 / $4.25,,52%,https://github.com/shaneshipman7/wild-swing-playbook,,2026-06-22 04:43,TRACKING
2026-06-21,SLI,SLI — Weak swing playbook,Final Execution Plan,$3.69,$3.49,$3.96 / $4.41,,,https://github.com/shaneshipman7/wild-swing-playbook,$3.42,2026-06-22 04:43,TRACKING
2026-06-18,SMCI,SMCI — Trading Playbook,Fib Golden Pocket,$36.76,$32.78,$42.35 / $51.4,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$30.66,2026-06-22 04:43,TRACKING
2026-06-19,SMR,SMR — Weak swing playbook,Final Execution Plan,$11.1,$10.23,$12.32 / $14.3,,,https://github.com/shaneshipman7/wild-swing-playbook,$11.71,2026-06-22 04:43,TRACKING
2026-06-19,SOFI,SOFI — Trading Playbook,Fib Golden Pocket,$16.4,$15.75,$17.31 / $18.8,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$17.91,2026-06-22 04:43,TRACKING
2026-06-17,STEM,STEM — Trading Playbook,Fib Golden Pocket,$8.71,$8.05,$9.64 / $11.15,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$8.2,2026-06-22 04:43,FAILED
2026-06-19,TE,TE Stock: Volume-Support Swing Setup Emerges Amid AI-Driven Solar Tailwinds,Final Execution Plan,$8.03,$7.14,$9.45 / $11.5,,55%,https://github.com/shaneshipman7/wild-swing-playbook,$9.31,2026-06-22 04:43,TRACKING
2026-06-15,TKO,TKO — Trading Playbook,Fib Golden Pocket,$195.26,$189.43,$203.44 / $216.7,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$198.77,2026-06-22 04:43,TRACKING
2026-06-21,TSLA,TSLA — Trading Playbook,Fib Golden Pocket,$408.13,$395.83,$425.42 / $453.4,1:1.41,,https://github.com/shaneshipman7/wild-swing-playbook,$400.43,2026-06-22 04:43,TRACKING
2026-06-15,TSM,TSM — Trading Playbook,Fib Golden Pocket,$408.97,$398.06,$424.3 / $449.11,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$462.22,2026-06-22 04:43,TRACKING
2026-06-17,TWAV,TWAV — Trading Playbook,Fib Golden Pocket,$1.68,$1.44,$2.03 / $2.58,1:1.44,,https://github.com/shaneshipman7/wild-swing-playbook,$1.55,2026-06-22 04:43,TRACKING
2026-06-21,VRDN,VRDN: Neutral Technical Setup at Key Support Offers Measured Swing Opportunity,Final Execution Plan,$16.16,$15.59,$17.34 / $18.7,,48%,https://github.com/shaneshipman7/wild-swing-playbook,$16.62,2026-06-22 04:43,TRACKING
2026-06-15,WLDS,WLDS — Trading Playbook,Fib Golden Pocket,$0.88,$0.82,$0.98 / $1.13,1:1.49,,https://github.com/shaneshipman7/wild-swing-playbook,$0.64,2026-06-22 04:43,TRACKING
2026-06-15,WULF,WULF — Trading Playbook,Fib Golden Pocket,$22.82,$21.4,$24.81 / $28.03,1:1.41,,https://github.com/shaneshipman7/wild-swing-playbook,$28.92,2026-06-22 04:43,TRACKING
2026-06-22,XEL,XEL — Trading Playbook,Fib Golden Pocket,$77.61,$76.72,$78.87 / $80.89,1:1.42,,https://github.com/shaneshipman7/wild-swing-playbook,$77.38,2026-06-22 04:43,TRACKING
2026-06-22,XPO,XPO — Trading Playbook,Fib Golden Pocket,$208.12,$201.62,$217.26 / $232.05,1:1.41,,https://github.com/shaneshipman7/wild-swing-playbook,$199.49,2026-06-22 04:43,TRACKING
2026-06-15,ZNB,ZNB — Trading Playbook,Fib Golden Pocket,$1.32,$1.13,$1.59 / $2.03,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$0.63,2026-06-22 04:43,FAILED
