Date,Ticker,Post_Title,Scenario,Entry,Stop_Loss,Targets,R_R_Ratio,Est_Probability,Link,Price_Updated,Current_Price
2026-05-31,MULTI,Jumia Technologies AG (JMIA),Bullish Pullback BuyPRIMARY,$9.00 – $9.50(Retest of recent support),Below $8.20 – $8.40(10–12% risk),$11.50 (T1)$13.50–$14.50 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/jumia-technologies-ag-jmia.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,Jumia Technologies AG (JMIA),Breakout ContinuationAGGRESSIVE,Above $10.50 – $10.80 on volume,$9.20 – $9.50 zone,$12.50 (T1)$15+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/jumia-technologies-ag-jmia.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,Jumia Technologies AG (JMIA),Range-Bound Swing,$9.20 – $10.00,Below $8.40,$11.00 – $11.80,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/jumia-technologies-ag-jmia.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,"Compass, Inc. (COMP)",Bullish Pullback BuyPRIMARY,$7.80 – $8.10(Retest of recent support),Below $7.20 – $7.40(8–10% risk),$9.50 (T1)$10.50–$11.00 (T2),1:2.0+,~58–68%,https://wildswingtrades.blogspot.com/2026/05/compass-inc-comp.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,"Compass, Inc. (COMP)",Breakout ContinuationAGGRESSIVE,Above $8.60 – $8.80 on volume,$7.90 – $8.10 zone,$9.80 (T1)$11.00+ (T2),1:2.3+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/compass-inc-comp.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,"Compass, Inc. (COMP)",Range-Bound Swing,$8.00 – $8.50,Below $7.40,$9.20 – $9.50,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/compass-inc-comp.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,"Clover Health Investments, Corp. (CLOV)",Bullish Pullback BuyPRIMARY,$3.60 – $3.80(Near-term support zone),Below $3.30 – $3.40(8–12% risk),$4.50 (T1)$5.20–$5.50 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/clover-health-investments-corp-clov.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,"Clover Health Investments, Corp. (CLOV)",Breakout ContinuationAGGRESSIVE,Above $4.20 – $4.30 on volume,$3.75 – $3.85 zone,$4.80 (T1)$5.50+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/clover-health-investments-corp-clov.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,"Clover Health Investments, Corp. (CLOV)",Range-Bound Swing,$3.70 – $4.00,Below $3.40,$4.40 – $4.60,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/clover-health-investments-corp-clov.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-30,RCAT,RCAT,Bullish Pullback BuyPRIMARY,$13.00 – $13.80(Retest of recent support after surge),Below $11.80 – $12.20(10–12% risk),$16.50 (T1)$18.50–$20.00 (T2),1:2.0+,\~55–65%,https://wildswingtrades.blogspot.com/2026/05/rcat.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-30,RCAT,RCAT,Breakout ContinuationAGGRESSIVE,Above $15.00 – $15.50 on volume,$13.50 – $13.80 zone,$17.50 (T1)$20+ (T2),1:2.5+,\~52–62%,https://wildswingtrades.blogspot.com/2026/05/rcat.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-30,RCAT,RCAT,Range-Bound Swing,$13.50 – $14.80,Below $12.50,$16.00 – $17.00,1:1.8,\~50–60%,https://wildswingtrades.blogspot.com/2026/05/rcat.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-30,SATL,SATL,Bullish Pullback BuyPRIMARY,$8.80 – $9.40(Near-term support zone),Below $8.00 – $8.30(10–12% risk),$11.50 (T1)$13.50–$15.00 (T2),1:2.0+,\~55–65%,https://wildswingtrades.blogspot.com/2026/05/satl.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-30,SATL,SATL,Breakout ContinuationAGGRESSIVE,Above $10.50 – $11.00 on volume,$9.20 – $9.50 zone,$12.50 (T1)$15+ (T2),1:2.5+,\~50–60%,https://wildswingtrades.blogspot.com/2026/05/satl.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-30,SATL,SATL,Range-Bound Swing,$9.00 – $10.00,Below $8.20,$11.00 – $11.80,1:1.8,\~50–60%,https://wildswingtrades.blogspot.com/2026/05/satl.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-30,RLMD,RLMD,Bullish Pullback BuyPRIMARY,$6.80 – $7.10(Near-term support zone),Below $6.20 – $6.40(10–12% risk),$9.00 (T1)$11.00–$12.00 (T2),1:2.0+,\~52–62%,https://wildswingtrades.blogspot.com/2026/05/rlmd.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-30,RLMD,RLMD,Breakout ContinuationAGGRESSIVE,Above $7.60 – $7.80 on volume,$6.90 – $7.10 zone,$9.50 (T1)$12+ (T2),1:2.5+,\~48–58%,https://wildswingtrades.blogspot.com/2026/05/rlmd.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-30,RLMD,RLMD,Range-Bound Swing,$6.90 – $7.50,Below $6.30,$8.50 – $9.00,1:1.8,\~50–60%,https://wildswingtrades.blogspot.com/2026/05/rlmd.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-30,LWLG,LWLG,Bullish Pullback BuyPRIMARY,$10.50 – $11.00(Near-term support zone),Below $9.50 – $9.80(10–12% risk),$13.50 (T1)$15.50–$17.00 (T2),1:2.0+,\~55–65%,https://wildswingtrades.blogspot.com/2026/05/lwlg.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-30,LWLG,LWLG,Breakout ContinuationAGGRESSIVE,Above $12.00 – $12.50 on volume,$10.80 – $11.00 zone,$14.50 (T1)$17+ (T2),1:2.5+,\~50–60%,https://wildswingtrades.blogspot.com/2026/05/lwlg.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-30,LWLG,LWLG,Range-Bound Swing,$10.80 – $12.00,Below $9.80,$13.00 – $13.80,1:1.8,\~48–58%,https://wildswingtrades.blogspot.com/2026/05/lwlg.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-30,AXTI,AXTI,Bullish Pullback BuyPRIMARY,$105 – $112(Key support zone after recent pullback),Below $95 – $98(10–12% risk),$130 (T1)$145–$155 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/axti.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-30,AXTI,AXTI,Breakout ContinuationAGGRESSIVE,Above $122 – $125 on strong volume,$108 – $110 zone,$135 (T1)$160+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/axti.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-30,AXTI,AXTI,Range-Bound Swing,$108 – $118,Below $98,$125 – $130,1:1.8,~48–58%,https://wildswingtrades.blogspot.com/2026/05/axti.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-29,MFA,MFA Swing,Bullish Pullback BuyPRIMARY,$9.20 – $9.50(Retest of recent support),Below $8.80 – $9.00(6–8% risk),$10.50 (T1)$11.20–$11.50 (T2),1:2.0+,~60–70%,https://wildswingtrades.blogspot.com/2026/05/mfa-swing.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-29,MFA,MFA Swing,Breakout ContinuationAGGRESSIVE,Above $9.70 – $9.80 on volume,$9.20 – $9.30 zone,$10.80 (T1)$11.50+ (T2),1:2.2+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/mfa-swing.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-29,MFA,MFA Swing,Range-Bound Swing,$9.30 – $9.60,Below $8.90,$10.20 – $10.50,1:1.8,~58–68%,https://wildswingtrades.blogspot.com/2026/05/mfa-swing.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,BB,BB BlackBerry,Bullish Pullback BuyPRIMARY,$8.00 – $8.50(Retest of today's breakout area),Below $7.40 – $7.60(8–12% risk),$10.00 (T1)$11.50–$12.00 (T2),1:2.0+,\~55–65%,https://wildswingtrades.blogspot.com/2026/05/bb-blackberry.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,BB,BB BlackBerry,Breakout ContinuationAGGRESSIVE,Above $9.10 – $9.30 on volume,$8.20 – $8.40 zone,$10.50 (T1)$12+ (T2),1:2.5+,\~50–60%,https://wildswingtrades.blogspot.com/2026/05/bb-blackberry.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,BB,BB BlackBerry,Range-Bound Swing,$8.20 – $8.80,Below $7.60,$9.50 – $10.00,1:1.8,\~48–58%,https://wildswingtrades.blogspot.com/2026/05/bb-blackberry.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,MU,MU,Bullish Pullback BuyPRIMARY,$880 – $905(Retest of recent breakout support),Below $850 – $860(5–7% risk),"$980 (T1)$1,050–$1,100 (T2)",1:2.0+,~60–70%,https://wildswingtrades.blogspot.com/2026/05/mu.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,MU,MU,Breakout ContinuationAGGRESSIVE,Above $940 – $950 on volume,$890 – $900 zone,"$1,000 (T1)$1,150+ (T2)",1:2.5+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/mu.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,MU,MU,Range-Bound Swing,$890 – $920,Below $860,$960 – $980,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/mu.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,PIII,PIII Booh Yeah,Bullish Pullback BuyPRIMARY,$14.00 – $15.00(Retest of recent breakout / support),Below $12.50 – $13.00(12–15% risk),$18 (T1)$22–$25 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/piii-booh-yeah.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,PIII,PIII Booh Yeah,Breakout ContinuationAGGRESSIVE,Above $16.50 – $17 on volume,$14.50 – $15 zone,$20 (T1)$25+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/piii-booh-yeah.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,PIII,PIII Booh Yeah,Range-Bound Swing,$14.50 – $16,Below $13,$18 – $19,1:1.8,~48–58%,https://wildswingtrades.blogspot.com/2026/05/piii-booh-yeah.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,PTGX,PTGX,Bullish Pullback BuyPRIMARY,$39.50 – $41.50(Near-term support zone),Below $36 – $37(8–12% risk),$50 (T1)$58–$62 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/ptgx.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,PTGX,PTGX,Breakout ContinuationAGGRESSIVE,Above $45 – $46 on volume,$40 – $41 zone,$52 (T1)$65+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/ptgx.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,PTGX,PTGX,Range-Bound Swing,$40 – $44,Below $37,$48 – $50,1:1.8,~48–58%,https://wildswingtrades.blogspot.com/2026/05/ptgx.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,AEP,AEP,Bullish Pullback BuyPRIMARY,$100 – $102.50(Near-term support zone),Below $96 – $97(5–7% risk),$108 (T1)$112–$115 (T2),1:2.0+,~65–75%,https://wildswingtrades.blogspot.com/2026/05/aep.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,AEP,AEP,Breakout ContinuationAGGRESSIVE,Above $106 – $107 on volume,$101 – $102 zone,$110 (T1)$115+ (T2),1:2.2+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/aep.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,AEP,AEP,Range-Bound Swing,$101 – $104,Below $97,$107 – $109,1:1.8,~60–70%,https://wildswingtrades.blogspot.com/2026/05/aep.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,ELF,ELF,Bullish Pullback BuyPRIMARY,$53 – $56(Retest of today's gap / support),Below $49 – $50(8–12% risk),$65 (T1)$72–$78 (T2),1:2.0+,~58–68%,https://wildswingtrades.blogspot.com/2026/05/elf.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,ELF,ELF,Breakout ContinuationAGGRESSIVE,Above $59 – $60 on volume,$54 – $55.50 zone,$66 (T1)$75+ (T2),1:2.5+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/elf.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,ELF,ELF,Range-Bound Swing,$54 – $58,Below $50,$63 – $66,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/elf.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,HEI,HEI,Bullish Pullback BuyPRIMARY,$320 – $330(Retest of recent breakout area),Below $305 – $310(6–8% risk),$360 (T1)$380–$400 (T2),1:2.0+,~60–70%,https://wildswingtrades.blogspot.com/2026/05/hei.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,HEI,HEI,Breakout ContinuationAGGRESSIVE,Above $345 – $350 on volume,$325 – $330 zone,$370 (T1)$400+ (T2),1:2.5+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/hei.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,HEI,HEI,Range-Bound Swing,$325 – $340,Below $310,$355 – $365,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/hei.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,TE,TE,Bullish Pullback BuyPRIMARY,$9.80 – $10.50(Near-term support after recent surge),Below $8.80 – $9.00(8–12% risk),$13 (T1)$15–$16 (T2),1:2.0+,~58–68%,https://wildswingtrades.blogspot.com/2026/05/te.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,TE,TE,Breakout ContinuationAGGRESSIVE,Above $11.50 – $12 on volume,$10.00 – $10.30 zone,$13.50 (T1)$16+ (T2),1:2.5+,~52–62%,https://wildswingtrades.blogspot.com/2026/05/te.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,TE,TE,Range-Bound Swing,$10.00 – $11.00,Below $9.00,$12.50 – $13.50,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/te.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,AMPX,AMPX,Bullish Pullback BuyPRIMARY,$15.80 – $16.80(Near-term support zone),Below $14.50 – $15.00(8–12% risk),$20 (T1)$23–$25 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/ampx.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,AMPX,AMPX,Breakout ContinuationAGGRESSIVE,Above $18.50 – $19 on volume,$16.50 – $17 zone,$22 (T1)$26+ (T2),1:2.5+,~52–62%,https://wildswingtrades.blogspot.com/2026/05/ampx.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,AMPX,AMPX,Range-Bound Swing,$16.50 – $18,Below $15,$20 – $21,1:1.8,~48–58%,https://wildswingtrades.blogspot.com/2026/05/ampx.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,SMCI,SMCI Super Micro Computer,Bullish Pullback BuyPRIMARY,$35.50 – $37.50(Near-term support zone),Below $32 – $33(8–12% risk),$45 (T1)$52–$55 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/smci-super-micro-computer.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,SMCI,SMCI Super Micro Computer,Breakout ContinuationAGGRESSIVE,Above $40 – $42 on strong volume,$36 – $37 zone,$48 (T1)$58+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/smci-super-micro-computer.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-28,SMCI,SMCI Super Micro Computer,Range-Bound Swing,$36 – $39,Below $33,$44 – $46,1:1.8,~48–58%,https://wildswingtrades.blogspot.com/2026/05/smci-super-micro-computer.html,Market closed (2026-05-31) - prices not refreshed,
