Date,Ticker,Post_Title,Scenario,Entry,Stop_Loss,Targets,R_R_Ratio,Est_Probability,Link,Current_Price,Price_Updated,Status
2026-06-01,PLTR,PLTR,Breakout ContinuationAGGRESSIVE,Above $81 on strong volume,$74 – $75 zone,$90 (T1)$100+ (T2),1:2.3+,\~55–65%,https://wildswingtrades.blogspot.com/2026/05/pltr.html,142.2,2026-06-03 18:15,TRACKING
2026-06-01,PLTR,PLTR,Range-Bound Swing,$74 – $79,Below $70,$85 – $88,1:1.8,\~50–60%,https://wildswingtrades.blogspot.com/2026/05/pltr.html,142.2,2026-06-03 18:15,TRACKING
2026-06-01,MCRP,MCRP,Bullish Pullback BuyPRIMARY,$74 – $76,Below $70 (-8%),$85 (T1)$92 (T2),1:2.0+,\~60–70%,https://wildswingtrades.blogspot.com/2026/05/mcrp.html,2.3,2026-06-03 18:15,TRACKING
2026-06-01,MCRP,MCRP,Breakout ContinuationAGGRESSIVE,Above $81 – $82 on volume,$74 – $75 zone,$88 (T1)$95+ (T2),1:2.2+,\~55–65%,https://wildswingtrades.blogspot.com/2026/05/mcrp.html,2.3,2026-06-03 18:15,TRACKING
2026-06-01,MCRP,MCRP,Range-Bound Swing,$75 – $79,Below $71,$83 – $85,1:1.8,\~55–65%,https://wildswingtrades.blogspot.com/2026/05/mcrp.html,2.3,2026-06-03 18:15,TRACKING
2026-06-01,SERV,SERV,Bullish Pullback BuyPRIMARY,$16.50 – $17.80,Below $14.50 (-15%),$23 (T1)$28+ (T2),1:2.0+,\~52–62%,https://wildswingtrades.blogspot.com/2026/05/serv.html,8.24,2026-06-03 18:15,TRACKING
2026-06-01,SERV,SERV,Breakout ContinuationAGGRESSIVE,Above $20.50 on volume,$17.80 zone,$25 (T1)$30+ (T2),1:2.5+,\~48–58%,https://wildswingtrades.blogspot.com/2026/05/serv.html,8.24,2026-06-03 18:15,TRACKING
2026-06-01,OUST,OUST,Bullish Pullback BuyPRIMARY,$17.00 – $17.80,Below $15.50 (-12%),$22.00 (T1)$26.00+ (T2),1:2.0+,\~55–65%,https://wildswingtrades.blogspot.com/2026/05/oust.html,43.96,2026-06-03 18:15,TRACKING
2026-06-01,OUST,OUST,Breakout ContinuationAGGRESSIVE,Above $19.80 on strong volume,$17.50 – $18.00 zone,$23.00 (T1)$27.00+ (T2),1:2.5+,\~50–60%,https://wildswingtrades.blogspot.com/2026/05/oust.html,43.96,2026-06-03 18:15,TRACKING
2026-06-01,HPE,HPE,Bullish Pullback BuyPRIMARY,$23.50 – $24.20,Below $22.50,$27 (T1)$29–$30 (T2),1:2.0+,\~60–70%,https://wildswingtrades.blogspot.com/2026/05/hpe.html,55.15,2026-06-03 18:15,TRACKING
2026-06-01,ARM,ARM,Bullish Pullback BuyPRIMARY,$158 – $162,Below $150,$185 (T1)$200+ (T2),1:2.0+,\~58–68%,https://wildswingtrades.blogspot.com/2026/05/arm.html,411.83,2026-06-03 18:15,TRACKING
2026-06-01,NVDA,NVDA Update,Bullish Pullback BuyPRIMARY,"$1,320 – $1,350","Below $1,280","$1,500 (T1)$1,650 (T2)",1:2.0+,\~60–70%,https://wildswingtrades.blogspot.com/2026/05/nvda-update.html,214.75,2026-06-03 18:15,TRACKING
2026-06-01,AVGO,AVGO,Bullish Pullback BuyPRIMARY,$425 – $435(Near-term support / 20-day MA),Below $410 – $415(5–7% risk),$480 (T1)$520–$550 (T2),1:2.0+,\~60–70%,https://wildswingtrades.blogspot.com/2026/05/avgo.html,479.23,2026-06-03 18:15,TRACKING
2026-06-01,AVGO,AVGO,Breakout ContinuationAGGRESSIVE,Above $460 – $470 on volume,$430 – $435 zone,$500 (T1)$550+ (T2),1:2.5+,\~55–65%,https://wildswingtrades.blogspot.com/2026/05/avgo.html,479.23,2026-06-03 18:15,TRACKING
2026-06-01,AVGO,AVGO,Range-Bound Swing,$430 – $455,Below $410,$475 – $490,1:1.8,\~52–62%,https://wildswingtrades.blogspot.com/2026/05/avgo.html,479.23,2026-06-03 18:15,TRACKING
2026-06-01,IRTC,"IRTC Swing Trading Playbook - May 30, 2026",Bullish Pullback BuyPRIMARY,$108 – $112(Near-term support zone),Below $102 – $104(6–8% risk),$130 (T1)$150–$160 (T2),1:2.0+,~58–68%,https://wildswingtrades.blogspot.com/2026/05/irtc-swing-trading-playbook-may-30-2026.html,104.56,2026-06-03 18:15,TRACKING
2026-06-01,IRTC,"IRTC Swing Trading Playbook - May 30, 2026",Breakout ContinuationAGGRESSIVE,Above $118 – $120 on volume,$108 – $110 zone,$135 (T1)$160+ (T2),1:2.5+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/irtc-swing-trading-playbook-may-30-2026.html,104.56,2026-06-03 18:15,TRACKING
2026-06-01,IRTC,"IRTC Swing Trading Playbook - May 30, 2026",Range-Bound Swing,$110 – $116,Below $104,$125 – $130,1:1.8,~52–62%,https://wildswingtrades.blogspot.com/2026/05/irtc-swing-trading-playbook-may-30-2026.html,104.56,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,"Relmada Therapeutics, Inc. (RLMD)",Bullish Pullback BuyPRIMARY,$6.80 – $7.10(Near-term support zone),Below $6.20 – $6.40(10–12% risk),$9.00 (T1)$11.00–$12.00 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/relmada-therapeutics-inc-rlmd.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,"Relmada Therapeutics, Inc. (RLMD)",Breakout ContinuationAGGRESSIVE,Above $7.60 – $7.80 on volume,$6.90 – $7.10 zone,$9.50 (T1)$12+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/relmada-therapeutics-inc-rlmd.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,"Relmada Therapeutics, Inc. (RLMD)",Range-Bound Swing,$6.90 – $7.50,Below $6.30,$8.50 – $9.00,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/relmada-therapeutics-inc-rlmd.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,Ondas Holdings Inc. (ONDS),Bullish Pullback BuyPRIMARY,$2.60 – $2.75(Near-term support zone),Below $2.30 – $2.40(10–12% risk),$3.50 (T1)$4.20–$4.50 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/ondas-holdings-inc-onds.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,Ondas Holdings Inc. (ONDS),Breakout ContinuationAGGRESSIVE,Above $3.10 – $3.20 on volume,$2.70 – $2.80 zone,$3.80 (T1)$4.80+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/ondas-holdings-inc-onds.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,Ondas Holdings Inc. (ONDS),Range-Bound Swing,$2.70 – $3.00,Below $2.40,$3.40 – $3.70,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/ondas-holdings-inc-onds.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,"NerdWallet, Inc. (NRDS)",Bullish Pullback BuyPRIMARY,$17.20 – $17.80(Near-term support zone),Below $16.00 – $16.30(8–10% risk),$20.50 (T1)$22.50–$23.50 (T2),1:2.0+,~58–68%,https://wildswingtrades.blogspot.com/2026/05/nerdwallet-inc-nrds.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,"NerdWallet, Inc. (NRDS)",Breakout ContinuationAGGRESSIVE,Above $19.00 – $19.50 on volume,$17.60 – $17.90 zone,$21.50 (T1)$24+ (T2),1:2.3+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/nerdwallet-inc-nrds.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,"NerdWallet, Inc. (NRDS)",Range-Bound Swing,$17.50 – $18.80,Below $16.40,$20.00 – $21.00,1:1.8,~52–62%,https://wildswingtrades.blogspot.com/2026/05/nerdwallet-inc-nrds.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,Jumia Technologies AG (JMIA),Bullish Pullback BuyPRIMARY,$9.00 – $9.50(Retest of recent support),Below $8.20 – $8.40(10–12% risk),$11.50 (T1)$13.50–$14.50 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/jumia-technologies-ag-jmia.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,Jumia Technologies AG (JMIA),Breakout ContinuationAGGRESSIVE,Above $10.50 – $10.80 on volume,$9.20 – $9.50 zone,$12.50 (T1)$15+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/jumia-technologies-ag-jmia.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,Jumia Technologies AG (JMIA),Range-Bound Swing,$9.20 – $10.00,Below $8.40,$11.00 – $11.80,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/jumia-technologies-ag-jmia.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,"Compass, Inc. (COMP)",Bullish Pullback BuyPRIMARY,$7.80 – $8.10(Retest of recent support),Below $7.20 – $7.40(8–10% risk),$9.50 (T1)$10.50–$11.00 (T2),1:2.0+,~58–68%,https://wildswingtrades.blogspot.com/2026/05/compass-inc-comp.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,"Compass, Inc. (COMP)",Breakout ContinuationAGGRESSIVE,Above $8.60 – $8.80 on volume,$7.90 – $8.10 zone,$9.80 (T1)$11.00+ (T2),1:2.3+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/compass-inc-comp.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,"Compass, Inc. (COMP)",Range-Bound Swing,$8.00 – $8.50,Below $7.40,$9.20 – $9.50,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/compass-inc-comp.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,"Clover Health Investments, Corp. (CLOV)",Bullish Pullback BuyPRIMARY,$3.60 – $3.80(Near-term support zone),Below $3.30 – $3.40(8–12% risk),$4.50 (T1)$5.20–$5.50 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/clover-health-investments-corp-clov.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,"Clover Health Investments, Corp. (CLOV)",Breakout ContinuationAGGRESSIVE,Above $4.20 – $4.30 on volume,$3.75 – $3.85 zone,$4.80 (T1)$5.50+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/clover-health-investments-corp-clov.html,,2026-06-03 18:15,TRACKING
2026-05-31,MULTI,"Clover Health Investments, Corp. (CLOV)",Range-Bound Swing,$3.70 – $4.00,Below $3.40,$4.40 – $4.60,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/clover-health-investments-corp-clov.html,,2026-06-03 18:15,TRACKING
2026-05-30,RCAT,RCAT,Bullish Pullback BuyPRIMARY,$13.00 – $13.80(Retest of recent support after surge),Below $11.80 – $12.20(10–12% risk),$16.50 (T1)$18.50–$20.00 (T2),1:2.0+,\~55–65%,https://wildswingtrades.blogspot.com/2026/05/rcat.html,13.79,2026-06-03 18:15,TRACKING
2026-05-30,RCAT,RCAT,Breakout ContinuationAGGRESSIVE,Above $15.00 – $15.50 on volume,$13.50 – $13.80 zone,$17.50 (T1)$20+ (T2),1:2.5+,\~52–62%,https://wildswingtrades.blogspot.com/2026/05/rcat.html,13.79,2026-06-03 18:15,TRACKING
2026-05-30,RCAT,RCAT,Range-Bound Swing,$13.50 – $14.80,Below $12.50,$16.00 – $17.00,1:1.8,\~50–60%,https://wildswingtrades.blogspot.com/2026/05/rcat.html,13.79,2026-06-03 18:15,TRACKING
