Date,Ticker,Post_Title,Scenario,Entry,Stop_Loss,Targets,R_R_Ratio,Est_Probability,Link,Current_Price,Price_Updated
2026-05-30,LWLG,LWLG,Breakout ContinuationAGGRESSIVE,Above $12.00 – $12.50 on volume,$10.80 – $11.00 zone,$14.50 (T1)$17+ (T2),1:2.5+,\~50–60%,https://wildswingtrades.blogspot.com/2026/05/lwlg.html,10.86,2026-05-31 01:34
2026-05-30,LWLG,LWLG,Range-Bound Swing,$10.80 – $12.00,Below $9.80,$13.00 – $13.80,1:1.8,\~48–58%,https://wildswingtrades.blogspot.com/2026/05/lwlg.html,10.86,2026-05-31 01:34
2026-05-30,AXTI,AXTI,Bullish Pullback BuyPRIMARY,$105 – $112(Key support zone after recent pullback),Below $95 – $98(10–12% risk),$130 (T1)$145–$155 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/axti.html,103.16,2026-05-31 01:34
2026-05-30,AXTI,AXTI,Breakout ContinuationAGGRESSIVE,Above $122 – $125 on strong volume,$108 – $110 zone,$135 (T1)$160+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/axti.html,103.16,2026-05-31 01:34
2026-05-30,AXTI,AXTI,Range-Bound Swing,$108 – $118,Below $98,$125 – $130,1:1.8,~48–58%,https://wildswingtrades.blogspot.com/2026/05/axti.html,103.16,2026-05-31 01:34
2026-05-29,MFA,MFA Swing,Bullish Pullback BuyPRIMARY,$9.20 – $9.50(Retest of recent support),Below $8.80 – $9.00(6–8% risk),$10.50 (T1)$11.20–$11.50 (T2),1:2.0+,~60–70%,https://wildswingtrades.blogspot.com/2026/05/mfa-swing.html,9.6,2026-05-31 01:34
2026-05-29,MFA,MFA Swing,Breakout ContinuationAGGRESSIVE,Above $9.70 – $9.80 on volume,$9.20 – $9.30 zone,$10.80 (T1)$11.50+ (T2),1:2.2+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/mfa-swing.html,9.6,2026-05-31 01:34
2026-05-29,MFA,MFA Swing,Range-Bound Swing,$9.30 – $9.60,Below $8.90,$10.20 – $10.50,1:1.8,~58–68%,https://wildswingtrades.blogspot.com/2026/05/mfa-swing.html,9.6,2026-05-31 01:34
2026-05-28,BB,BB BlackBerry,Bullish Pullback BuyPRIMARY,$8.00 – $8.50(Retest of today's breakout area),Below $7.40 – $7.60(8–12% risk),$10.00 (T1)$11.50–$12.00 (T2),1:2.0+,\~55–65%,https://wildswingtrades.blogspot.com/2026/05/bb-blackberry.html,9.0,2026-05-31 01:34
2026-05-28,BB,BB BlackBerry,Breakout ContinuationAGGRESSIVE,Above $9.10 – $9.30 on volume,$8.20 – $8.40 zone,$10.50 (T1)$12+ (T2),1:2.5+,\~50–60%,https://wildswingtrades.blogspot.com/2026/05/bb-blackberry.html,9.0,2026-05-31 01:34
2026-05-28,BB,BB BlackBerry,Range-Bound Swing,$8.20 – $8.80,Below $7.60,$9.50 – $10.00,1:1.8,\~48–58%,https://wildswingtrades.blogspot.com/2026/05/bb-blackberry.html,9.0,2026-05-31 01:34
2026-05-28,MU,MU,Bullish Pullback BuyPRIMARY,$880 – $905(Retest of recent breakout support),Below $850 – $860(5–7% risk),"$980 (T1)$1,050–$1,100 (T2)",1:2.0+,~60–70%,https://wildswingtrades.blogspot.com/2026/05/mu.html,971.0,2026-05-31 01:34
2026-05-28,MU,MU,Breakout ContinuationAGGRESSIVE,Above $940 – $950 on volume,$890 – $900 zone,"$1,000 (T1)$1,150+ (T2)",1:2.5+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/mu.html,971.0,2026-05-31 01:34
2026-05-28,MU,MU,Range-Bound Swing,$890 – $920,Below $860,$960 – $980,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/mu.html,971.0,2026-05-31 01:34
2026-05-28,PIII,PIII Booh Yeah,Bullish Pullback BuyPRIMARY,$14.00 – $15.00(Retest of recent breakout / support),Below $12.50 – $13.00(12–15% risk),$18 (T1)$22–$25 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/piii-booh-yeah.html,12.18,2026-05-31 01:34
2026-05-28,PIII,PIII Booh Yeah,Breakout ContinuationAGGRESSIVE,Above $16.50 – $17 on volume,$14.50 – $15 zone,$20 (T1)$25+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/piii-booh-yeah.html,12.18,2026-05-31 01:34
2026-05-28,PIII,PIII Booh Yeah,Range-Bound Swing,$14.50 – $16,Below $13,$18 – $19,1:1.8,~48–58%,https://wildswingtrades.blogspot.com/2026/05/piii-booh-yeah.html,12.18,2026-05-31 01:34
2026-05-28,PTGX,PTGX,Bullish Pullback BuyPRIMARY,$39.50 – $41.50(Near-term support zone),Below $36 – $37(8–12% risk),$50 (T1)$58–$62 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/ptgx.html,99.56,2026-05-31 01:34
2026-05-28,PTGX,PTGX,Breakout ContinuationAGGRESSIVE,Above $45 – $46 on volume,$40 – $41 zone,$52 (T1)$65+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/ptgx.html,99.56,2026-05-31 01:34
2026-05-28,PTGX,PTGX,Range-Bound Swing,$40 – $44,Below $37,$48 – $50,1:1.8,~48–58%,https://wildswingtrades.blogspot.com/2026/05/ptgx.html,99.56,2026-05-31 01:34
2026-05-28,AEP,AEP,Bullish Pullback BuyPRIMARY,$100 – $102.50(Near-term support zone),Below $96 – $97(5–7% risk),$108 (T1)$112–$115 (T2),1:2.0+,~65–75%,https://wildswingtrades.blogspot.com/2026/05/aep.html,126.67,2026-05-31 01:34
2026-05-28,AEP,AEP,Breakout ContinuationAGGRESSIVE,Above $106 – $107 on volume,$101 – $102 zone,$110 (T1)$115+ (T2),1:2.2+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/aep.html,126.67,2026-05-31 01:34
2026-05-28,AEP,AEP,Range-Bound Swing,$101 – $104,Below $97,$107 – $109,1:1.8,~60–70%,https://wildswingtrades.blogspot.com/2026/05/aep.html,126.67,2026-05-31 01:34
2026-05-28,ELF,ELF,Bullish Pullback BuyPRIMARY,$53 – $56(Retest of today's gap / support),Below $49 – $50(8–12% risk),$65 (T1)$72–$78 (T2),1:2.0+,~58–68%,https://wildswingtrades.blogspot.com/2026/05/elf.html,56.0,2026-05-31 01:34
2026-05-28,ELF,ELF,Breakout ContinuationAGGRESSIVE,Above $59 – $60 on volume,$54 – $55.50 zone,$66 (T1)$75+ (T2),1:2.5+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/elf.html,56.0,2026-05-31 01:34
2026-05-28,ELF,ELF,Range-Bound Swing,$54 – $58,Below $50,$63 – $66,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/elf.html,56.0,2026-05-31 01:34
2026-05-28,HEI,HEI,Bullish Pullback BuyPRIMARY,$320 – $330(Retest of recent breakout area),Below $305 – $310(6–8% risk),$360 (T1)$380–$400 (T2),1:2.0+,~60–70%,https://wildswingtrades.blogspot.com/2026/05/hei.html,348.18,2026-05-31 01:34
2026-05-28,HEI,HEI,Breakout ContinuationAGGRESSIVE,Above $345 – $350 on volume,$325 – $330 zone,$370 (T1)$400+ (T2),1:2.5+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/hei.html,348.18,2026-05-31 01:34
2026-05-28,HEI,HEI,Range-Bound Swing,$325 – $340,Below $310,$355 – $365,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/hei.html,348.18,2026-05-31 01:34
2026-05-28,TE,TE,Bullish Pullback BuyPRIMARY,$9.80 – $10.50(Near-term support after recent surge),Below $8.80 – $9.00(8–12% risk),$13 (T1)$15–$16 (T2),1:2.0+,~58–68%,https://wildswingtrades.blogspot.com/2026/05/te.html,10.56,2026-05-31 01:34
2026-05-28,TE,TE,Breakout ContinuationAGGRESSIVE,Above $11.50 – $12 on volume,$10.00 – $10.30 zone,$13.50 (T1)$16+ (T2),1:2.5+,~52–62%,https://wildswingtrades.blogspot.com/2026/05/te.html,10.56,2026-05-31 01:34
2026-05-28,TE,TE,Range-Bound Swing,$10.00 – $11.00,Below $9.00,$12.50 – $13.50,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/te.html,10.56,2026-05-31 01:34
2026-05-28,AMPX,AMPX,Bullish Pullback BuyPRIMARY,$15.80 – $16.80(Near-term support zone),Below $14.50 – $15.00(8–12% risk),$20 (T1)$23–$25 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/ampx.html,20.28,2026-05-31 01:34
2026-05-28,AMPX,AMPX,Breakout ContinuationAGGRESSIVE,Above $18.50 – $19 on volume,$16.50 – $17 zone,$22 (T1)$26+ (T2),1:2.5+,~52–62%,https://wildswingtrades.blogspot.com/2026/05/ampx.html,20.28,2026-05-31 01:34
2026-05-28,AMPX,AMPX,Range-Bound Swing,$16.50 – $18,Below $15,$20 – $21,1:1.8,~48–58%,https://wildswingtrades.blogspot.com/2026/05/ampx.html,20.28,2026-05-31 01:34
2026-05-28,SMCI,SMCI Super Micro Computer,Bullish Pullback BuyPRIMARY,$35.50 – $37.50(Near-term support zone),Below $32 – $33(8–12% risk),$45 (T1)$52–$55 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/smci-super-micro-computer.html,46.09,2026-05-31 01:34
2026-05-28,SMCI,SMCI Super Micro Computer,Breakout ContinuationAGGRESSIVE,Above $40 – $42 on strong volume,$36 – $37 zone,$48 (T1)$58+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/smci-super-micro-computer.html,46.09,2026-05-31 01:34
2026-05-28,SMCI,SMCI Super Micro Computer,Range-Bound Swing,$36 – $39,Below $33,$44 – $46,1:1.8,~48–58%,https://wildswingtrades.blogspot.com/2026/05/smci-super-micro-computer.html,46.09,2026-05-31 01:34
2026-05-28,MULTI,"We In The HOOD, Robin.",Bullish Pullback BuyPRIMARY,$72 – $74.50(Near today's low / support),Below $68 – $70(6–8% risk),$85 (T1)$95–$100 (T2),1:2.0+,~58–68%,https://wildswingtrades.blogspot.com/2026/05/we-in-hood-robin.html,,2026-05-31 01:34
2026-05-28,MULTI,"We In The HOOD, Robin.",Breakout ContinuationAGGRESSIVE,Above $77 – $78 on volume,$72 – $73 zone,$85 (T1)$95+ (T2),1:2.5+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/we-in-hood-robin.html,,2026-05-31 01:34
2026-05-28,MULTI,"We In The HOOD, Robin.",Range-Bound Swing,$73 – $76,Below $70,$82 – $85,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/we-in-hood-robin.html,,2026-05-31 01:34
2026-05-28,MULTI,I've Got An APP For That,Bullish Pullback BuyPRIMARY,$520 – $545(Retest of today's breakout area),Below $490 – $500(8–12% risk),$620 (T1)$680–$720 (T2),1:2.0+,~60–70%,https://wildswingtrades.blogspot.com/2026/05/ive-got-app-for-that.html,,2026-05-31 01:34
2026-05-28,MULTI,I've Got An APP For That,Breakout ContinuationAGGRESSIVE,Above $590 – $600 on volume,$545 – $560 zone,$650 (T1)$720+ (T2),1:2.5+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/ive-got-app-for-that.html,,2026-05-31 01:34
2026-05-28,MULTI,I've Got An APP For That,Range-Bound Swing,$530 – $570,Below $500,$620 – $650,1:2.0,~50–60%,https://wildswingtrades.blogspot.com/2026/05/ive-got-app-for-that.html,,2026-05-31 01:34
2026-05-28,IONQ,IONQ,Bullish Pullback BuyPRIMARY,$58 – $62(Near-term support zone),Below $52–$55(8–12% risk),$75 (T1)$85–$90 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/ionq.html,72.07,2026-05-31 01:34
2026-05-28,IONQ,IONQ,Breakout ContinuationAGGRESSIVE,Above $67–$70 on volume,$60–$62 zone,$78–$82 (T1)$95+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/ionq.html,72.07,2026-05-31 01:34
2026-05-28,IONQ,IONQ,Range-Bound Swing,$60 – $65,Below $55,$72–$75,1:1.8,~45–55%,https://wildswingtrades.blogspot.com/2026/05/ionq.html,72.07,2026-05-31 01:34
2026-05-28,MULTI,From Kitchen Tables to Trading Profits: The WSM Swing Setup,Bullish Pullback BuyPRIMARY STRATEGY,$192.04 – $204.30Scale-in zone,Below $159.35(-22% from entry structural invalidation),$241.07(T1: +18%)$286.02(T2: +40%),1:0.8,~60–70%,https://wildswingtrades.blogspot.com/2026/05/from-kitchen-tables-to-trading-profits.html,,2026-05-31 01:34
2026-05-28,MULTI,From Kitchen Tables to Trading Profits: The WSM Swing Setup,Breakout ContinuationMOMENTUM CONFIRMED,Above $210 – $215Daily close confirmation,$190 – $195 zoneBelow breakout candle low,$245.00(T1)$280.00+(T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/from-kitchen-tables-to-trading-profits.html,,2026-05-31 01:34
2026-05-28,MULTI,Going Stag STGW,Bullish Pullback BuyPRIMARY STRATEGY,$6.55 – $6.97Scale-in demand zone,Below $5.44(-22% validation limit),$8.22(T1: +18%)$9.76(T2: +40%),1:0.8,~58–68%,https://wildswingtrades.blogspot.com/2026/05/going-stag-stgw.html,,2026-05-31 01:34
2026-05-28,MULTI,Going Stag STGW,Breakout ContinuationMOMENTUM CONTEXT,Above $7.20 – $7.40Clearance of local peak,$6.40 – $6.55 zoneBelow breakout baseline,$8.50(T1)$10.00+(T2),1:2.0+,~52–62%,https://wildswingtrades.blogspot.com/2026/05/going-stag-stgw.html,,2026-05-31 01:34
2026-05-28,MULTI,All Hands On DECK,Bullish Pullback BuyPRIMARY STRATEGY,$107.43 – $114.29Structural loading zone,Below $89.15(-22% structural invalidation),$134.86(T1: +18%)$160.01(T2: +40%),1:0.8,~60–70%,https://wildswingtrades.blogspot.com/2026/05/all-hands-on-deck.html,,2026-05-31 01:34
2026-05-28,MULTI,All Hands On DECK,Breakout ContinuationMOMENTUM CONFIRMED,Above $118 – $120Daily candle confirmation,$105 – $107 zoneBelow breakout origin pivot,$135.00 – $145.00(T1)$160.00+(T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/all-hands-on-deck.html,,2026-05-31 01:34
2026-05-28,LLY,LLY - Breaking It Down,Bullish Pullback BuyPRIMARY STRATEGY,"$1,021.70 – $1,055.00(Pullback to structural support)",Below $847.79(-22% scanner default line),"$1,282.55(T1: +18%)$1,521.67(T2: +40%)",1:0.8,~60–70%,https://wildswingtrades.blogspot.com/2026/05/lly-breaking-it-down.html,1105.0,2026-05-31 01:34
2026-05-28,LLY,LLY - Breaking It Down,Breakout ContinuationAGGRESSIVE MOMENTUM,"Above $1,100.00(Confirmed on high relative volume)","$1,030.00 – $1,050.00(Below local channel support)","$1,180.00 – $1,220.00(T1)$1,300.00+(T2)",1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/lly-breaking-it-down.html,1105.0,2026-05-31 01:34
2026-05-28,LLY,LLY - Breaking It Down,Range-Bound SwingTACTICAL MEAN REVERSION,"Current Levels ~$1,070 – $1,087(With clear momentum confirmation)","Below $1,021.00(Inversion of immediate floor)","$1,134.00 – $1,180.00",1:1.5 to 1:2.0,~50–60%,https://wildswingtrades.blogspot.com/2026/05/lly-breaking-it-down.html,1105.0,2026-05-31 01:34
2026-05-28,LLY,LLY - Breaking It Down,Bearish ReversalCOUNTER-TREND / AVOID,"Short below $1,020.00(On confirmed breakdown of floor)","Above $1,100.00(Above localized resistance peak)",$980.00then$930.00,N/A,~30–40%,https://wildswingtrades.blogspot.com/2026/05/lly-breaking-it-down.html,1105.0,2026-05-31 01:34
